gene_id,gene_name
ENSG00000235146.2,AC114498.1
ENSG00000283259.1,AC242022.1
ENSG00000264078.1,AC114488.2
ENSG00000224409.1,AC114489.1
ENSG00000229528.1,AC119677.1
ENSG00000234917.2,AC098484.2
ENSG00000283580.3,AC098484.3
ENSG00000229846.2,AC099788.1
ENSG00000238140.1,AC104170.1
ENSG00000285954.1,AC119428.2
ENSG00000237453.1,AC096536.1
ENSG00000260971.4,AC119674.1
ENSG00000284686.1,AC119674.2
ENSG00000270457.1,AC093424.1
ENSG00000231252.3,AC099792.1
ENSG00000271200.1,AC099791.2
ENSG00000235545.1,AC103923.1
ENSG00000234318.1,AC099794.1
ENSG00000237324.3,AC093158.1
ENSG00000272864.1,AC135803.1
ENSG00000225605.3,AC092813.1
ENSG00000230027.2,AC092813.2
ENSG00000272855.1,AC104458.1
ENSG00000233099.1,AC095030.1
ENSG00000273338.1,AC103591.3
ENSG00000285409.1,AC099671.1
ENSG00000236676.1,AC117944.1
ENSG00000267561.2,AC093155.3
ENSG00000284734.1,AC099063.4
ENSG00000271949.1,AC093423.3
ENSG00000273487.1,AC104836.1
ENSG00000236098.1,AC097059.1
ENSG00000226026.6,AC092802.1
ENSG00000228852.6,AC092802.2
ENSG00000228084.1,AC118553.1
ENSG00000283761.1,AC118553.2
ENSG00000241073.1,AC093019.2
ENSG00000273204.1,AC104506.1
ENSG00000233184.7,AC093157.1
ENSG00000233359.2,AC114485.1
ENSG00000230864.1,AC099567.1
ENSG00000230759.1,AC095032.2
ENSG00000234998.1,AC244453.3
ENSG00000227193.2,AC244453.1
ENSG00000232721.2,AC239800.2
ENSG00000270962.1,AC239800.3
ENSG00000230186.3,AC246680.1
ENSG00000276756.4,AC245595.1
ENSG00000237343.1,AC246785.3
ENSG00000276216.1,AC245014.3
ENSG00000236140.1,AC245014.1
ENSG00000287190.1,AC239799.2
ENSG00000287978.1,AC245407.2
ENSG00000227242.4,AC244394.2
ENSG00000237188.5,AC242426.2
ENSG00000273059.1,AC239803.1
ENSG00000227733.10,AC239809.3
ENSG00000224481.3,AC245100.1
ENSG00000285062.1,AC245100.7
ENSG00000255148.2,AC239802.2
ENSG00000254539.1,AC239804.1
ENSG00000274265.5,AC245297.3
ENSG00000272755.1,AC245297.2
ENSG00000276110.1,AC242988.1
ENSG00000236263.1,AC234582.1
ENSG00000230623.6,AC104461.1
ENSG00000224536.2,AC096677.1
ENSG00000226862.1,AC104463.2
ENSG00000224671.2,AC105940.1
ENSG00000226780.1,AC244035.1
ENSG00000287046.1,AC092810.3
ENSG00000284376.1,AC092017.3
ENSG00000231057.4,AC096637.2
ENSG00000226868.1,AC096637.1
ENSG00000286213.1,AC092803.2
ENSG00000228255.1,AC096639.1
ENSG00000274895.1,AC011700.1
ENSG00000277007.1,AC096642.1
ENSG00000237101.1,AC092809.4
ENSG00000227496.3,AC099066.2
ENSG00000235096.2,AC118555.1
ENSG00000224521.2,AC098483.1
ENSG00000236856.1,AC105393.2
ENSG00000233970.1,AC092159.2
ENSG00000227713.2,AC092159.1
ENSG00000228613.1,AC141930.1
ENSG00000284600.1,AC093390.2
ENSG00000234929.2,AC018685.2
ENSG00000237720.2,AC011995.2
ENSG00000236760.1,AC019118.2
ENSG00000235078.1,AC231981.1
ENSG00000286905.1,AC108488.2
ENSG00000271947.1,AC017076.1
ENSG00000223884.7,AC068481.1
ENSG00000272002.1,AC010904.2
ENSG00000226506.6,AC007463.1
ENSG00000239300.6,AC080162.1
ENSG00000271855.1,AC073195.1
ENSG00000240687.2,AC082651.1
ENSG00000244260.2,AC082651.4
ENSG00000243491.1,AC082651.3
ENSG00000269973.1,AC010969.2
ENSG00000233502.1,AC104794.2
ENSG00000212558.1,AC104794.1
ENSG00000206647.1,AC007240.1
ENSG00000234818.1,AC007314.1
ENSG00000272275.1,AC092687.3
ENSG00000232056.1,AC092687.1
ENSG00000145063.15,AC062028.1
ENSG00000230952.1,AC099344.1
ENSG00000223360.1,AC096559.1
ENSG00000229370.1,AC073062.1
ENSG00000227718.1,AC016730.1
ENSG00000235127.1,AC068286.1
ENSG00000226764.2,AC010145.1
ENSG00000236989.5,AC130710.1
ENSG00000228876.4,AC010745.2
ENSG00000223536.6,AC008164.1
ENSG00000260331.1,AC079148.1
ENSG00000234597.2,AC010096.1
ENSG00000271991.1,AC013400.1
ENSG00000227210.2,AC079145.1
ENSG00000233005.2,AC018742.1
ENSG00000228999.4,AC096570.1
ENSG00000232451.2,AC018467.1
ENSG00000223634.1,AC012506.2
ENSG00000235497.5,AC012506.4
ENSG00000224361.1,AC011239.1
ENSG00000283031.2,AC009242.1
ENSG00000276087.2,AC008073.3
ENSG00000232642.2,AC008073.2
ENSG00000242628.6,AC009228.1
ENSG00000272056.1,AC013472.2
ENSG00000272148.1,AC013403.2
ENSG00000234072.1,AC074117.1
ENSG00000223522.2,AC093690.1
ENSG00000270640.1,AC104695.3
ENSG00000270210.1,AC104695.2
ENSG00000230730.1,AC074011.1
ENSG00000226833.6,AC092164.1
ENSG00000273233.1,AC097724.1
ENSG00000233862.7,AC016907.2
ENSG00000226994.9,AC012593.1
ENSG00000236213.2,AC006369.1
ENSG00000229160.1,AC009229.2
ENSG00000227292.1,AC009229.1
ENSG00000235586.1,AC011247.1
ENSG00000269210.2,AC019171.1
ENSG00000226398.1,AC013480.1
ENSG00000224739.2,AC016735.1
ENSG00000234936.1,AC010883.1
ENSG00000228925.1,AC016722.2
ENSG00000273269.3,AC073283.3
ENSG00000226087.2,AC073283.2
ENSG00000233230.1,AC079807.1
ENSG00000230773.9,AC092650.1
ENSG00000279956.1,AC073082.1
ENSG00000282890.1,AC009975.1
