smorf_type,start_codon_class,n,mean_full_kozak_fraction,median_full_kozak_fraction,mean_downstream_kozak_fraction,pct_weighted_strong,pct_weighted_adequate,pct_weighted_weak,pct_upstream_is_inframe_stop,pct_minus3_purine,pct_plus4_G,pct_canonical_strong,pct_canonical_weak,pct_full_upstream_window
D-Iso,ATG,10,0.457,0.571,0.275,20.0,50.0,30.0,0.0,80.0,40.0,40.0,20.0,100.0
Iso,ATG,539,0.487,0.429,0.366,30.2,40.6,29.1,1.7,69.8,48.4,37.1,18.9,98.1
Iso,non-ATG,48,0.241,0.196,0.276,2.1,20.8,77.1,68.8,0.0,25.0,0.0,75.0,68.8
N-Iso,ATG,10,0.436,0.358,0.325,20.0,30.0,50.0,0.0,70.0,50.0,20.0,0.0,90.0
N-Iso,non-ATG,14,0.324,0.358,0.375,7.1,42.9,50.0,50.0,0.0,57.1,0.0,42.9,50.0
dORF,ATG,475,0.421,0.429,0.326,17.5,42.9,39.6,9.5,56.8,35.8,21.5,28.8,100.0
dORF,non-ATG,318,0.223,0.143,0.274,0.6,20.1,79.2,100.0,0.0,24.8,0.0,75.2,100.0
daORF,ATG,69,0.425,0.429,0.384,17.4,42.0,40.6,7.2,44.9,46.4,21.7,30.4,100.0
daORF,non-ATG,46,0.233,0.286,0.283,2.2,23.9,73.9,100.0,0.0,28.3,0.0,71.7,100.0
daoORF,ATG,146,0.406,0.429,0.332,17.8,41.8,40.4,6.8,49.3,44.5,22.6,28.8,100.0
daoORF,non-ATG,94,0.241,0.286,0.287,0.0,26.6,73.4,96.8,0.0,38.3,0.0,61.7,96.8
doORF,ATG,3,0.286,0.286,0.083,0.0,33.3,66.7,0.0,66.7,0.0,0.0,33.3,100.0
doORF,non-ATG,3,0.238,0.143,0.333,0.0,33.3,66.7,100.0,0.0,33.3,0.0,66.7,100.0
eORF,ATG,72,0.434,0.429,0.358,18.1,44.4,37.5,2.8,54.2,41.7,23.6,27.8,97.2
eORF,non-ATG,55,0.216,0.143,0.245,1.8,25.5,72.7,92.7,0.0,29.1,0.0,70.9,92.7
iORF,ATG,154,0.373,0.429,0.244,11.0,41.6,47.4,7.1,57.1,31.8,19.5,30.5,100.0
iORF,non-ATG,243,0.251,0.286,0.279,2.1,25.9,72.0,93.8,0.0,31.3,0.0,68.7,93.8
lncRNA,ATG,335,0.419,0.429,0.319,17.0,46.9,36.1,6.0,56.4,40.3,21.5,24.8,98.8
lncRNA,non-ATG,158,0.213,0.196,0.253,1.3,17.7,81.0,84.2,0.0,27.2,0.0,72.8,84.2
psORF,ATG,413,0.452,0.429,0.357,25.2,37.8,37.0,0.7,57.9,41.6,25.9,26.4,86.9
psORF,non-ATG,45,0.253,0.286,0.267,2.2,28.9,68.9,88.9,0.0,28.9,0.0,71.1,88.9
uORF,ATG,118,0.387,0.429,0.297,17.8,34.7,47.5,5.9,55.1,41.5,25.4,28.8,96.6
uORF,non-ATG,94,0.246,0.25,0.277,1.1,33.0,66.0,47.9,0.0,40.4,0.0,59.6,47.9
uaORF,ATG,19,0.338,0.286,0.224,15.8,31.6,52.6,0.0,52.6,26.3,21.1,42.1,94.7
uaORF,non-ATG,22,0.234,0.214,0.295,0.0,31.8,68.2,72.7,0.0,40.9,0.0,59.1,72.7
uaoORF,ATG,28,0.444,0.429,0.348,21.4,39.3,39.3,0.0,60.7,46.4,21.4,14.3,100.0
uaoORF,non-ATG,20,0.268,0.286,0.312,5.0,25.0,70.0,80.0,0.0,45.0,0.0,55.0,80.0
udORF,ATG,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
uoORF,ATG,64,0.288,0.286,0.176,6.2,28.1,65.6,3.1,45.3,23.4,12.5,43.8,93.8
uoORF,non-ATG,70,0.24,0.25,0.254,7.1,25.7,67.1,32.9,0.0,35.7,0.0,64.3,31.4
