gene_name,amyloid,gpath,tangles,cogdx,n_traits_DE
UBE2J2,TRUE,TRUE,TRUE,TRUE,4
MRPL20,TRUE,TRUE,TRUE,TRUE,4
ACOT7,TRUE,TRUE,TRUE,TRUE,4
CAMTA1,TRUE,TRUE,TRUE,TRUE,4
MIIP,TRUE,TRUE,TRUE,FALSE,3
ARHGEF10L,TRUE,TRUE,TRUE,TRUE,4
PINK1,TRUE,TRUE,TRUE,TRUE,4
ECE1,TRUE,TRUE,TRUE,TRUE,4
ZBTB40,TRUE,TRUE,TRUE,TRUE,4
ZNF436-AS1,TRUE,TRUE,TRUE,TRUE,4
RPL11,TRUE,TRUE,TRUE,TRUE,4
HMGN2,TRUE,TRUE,TRUE,TRUE,4
ATP5IF1,TRUE,TRUE,TRUE,TRUE,4
KHDRBS1,TRUE,TRUE,TRUE,TRUE,4
TMEM234,TRUE,TRUE,TRUE,TRUE,4
MARCKSL1,TRUE,TRUE,TRUE,TRUE,4
SFPQ,TRUE,TRUE,TRUE,TRUE,4
TRAPPC3,TRUE,TRUE,TRUE,FALSE,3
COL9A2,TRUE,TRUE,TRUE,TRUE,4
ATP6V0B,TRUE,TRUE,TRUE,TRUE,4
CCDC24,TRUE,TRUE,TRUE,TRUE,4
POMGNT1,TRUE,TRUE,TRUE,TRUE,4
SCP2,TRUE,TRUE,TRUE,TRUE,4
SSBP3,TRUE,TRUE,TRUE,TRUE,4
AK4,TRUE,TRUE,TRUE,TRUE,4
SGIP1,TRUE,TRUE,TRUE,TRUE,4
HS2ST1,TRUE,TRUE,TRUE,FALSE,3
LMO4,TRUE,TRUE,TRUE,TRUE,4
PKN2-AS1,TRUE,TRUE,TRUE,TRUE,4
MTF2,TRUE,TRUE,TRUE,TRUE,4
SLC44A3,TRUE,TRUE,TRUE,TRUE,4
SORT1,TRUE,TRUE,TRUE,TRUE,4
AMPD2,TRUE,TRUE,TRUE,TRUE,4
LAMTOR5,TRUE,TRUE,TRUE,TRUE,4
LRIF1,TRUE,TRUE,TRUE,TRUE,4
AP4B1,TRUE,TRUE,TRUE,TRUE,4
MAN1A2,TRUE,TRUE,TRUE,TRUE,4
POLR3C,TRUE,TRUE,TRUE,TRUE,4
PDE4DIP,TRUE,TRUE,TRUE,TRUE,4
C1orf54,TRUE,TRUE,TRUE,TRUE,4
PIP5K1A,TRUE,TRUE,TRUE,TRUE,4
S100A16,TRUE,FALSE,FALSE,FALSE,1
S100A13,TRUE,FALSE,FALSE,FALSE,1
S100A1,TRUE,TRUE,TRUE,TRUE,4
ILF2,TRUE,TRUE,TRUE,TRUE,4
RPS27,TRUE,TRUE,TRUE,TRUE,4
TPM3,TRUE,TRUE,TRUE,TRUE,4
HAX1,TRUE,TRUE,TRUE,TRUE,4
FDPS,TRUE,TRUE,TRUE,TRUE,4
LAMTOR2,TRUE,TRUE,TRUE,TRUE,4
BCAN,TRUE,TRUE,TRUE,TRUE,4
KCNJ10,TRUE,TRUE,TRUE,TRUE,4
ATP1A2,TRUE,TRUE,TRUE,TRUE,4
DCAF8,TRUE,TRUE,TRUE,FALSE,3
PFDN2,TRUE,TRUE,TRUE,TRUE,4
POGK,TRUE,TRUE,TRUE,TRUE,4
ATP1B1,TRUE,TRUE,TRUE,TRUE,4
DNM3,TRUE,TRUE,TRUE,TRUE,4
COP1,TRUE,TRUE,TRUE,TRUE,4
TSEN15,TRUE,TRUE,TRUE,TRUE,4
TRMT1L,TRUE,TRUE,TRUE,FALSE,3
CSRP1,TRUE,TRUE,TRUE,TRUE,4
ATP2B4,TRUE,TRUE,TRUE,TRUE,4
PPP1R15B,TRUE,TRUE,TRUE,TRUE,4
RCOR3,TRUE,TRUE,TRUE,FALSE,3
NENF,TRUE,TRUE,TRUE,TRUE,4
