Gene	Default	MM_Amb	Amb	MM
ESPRESSO_chr1_0_12-chr1:14699-15844_F:2_P:8_M	0.0	8.99346875430463	0.0	32.90034120592151
ESPRESSO_chr9_29473_6-chr9:14810-15957_F:2_P:6_M	0.0	7.147226053369409	0.0	0.0
ESPRESSO_chr12_6271_7-chr12:14814-15229_F:1_P:3_M	0.0	6.3581357833269365	0.0	19.086263521835196
ESPRESSO_chr12_6271_7-chr12:15471-15512_F:2_P:1_M	0.0	0.0	0.0	0.0
ESPRESSO_chr12_6271_7-chr12:15596-15961_F:1_P:0_M	0.0	1.019718675835052	0.0	3.049711900279824
ESPRESSO_chr1_0_13-chr1:15895-16876_F:0_P:6	0.0	2.896757597311724	0.0	11.247325167901579
ESPRESSO_chr9_29473_6-chr9:16859-17421_F:1_P:0_M	0.0	9.03954628094916	0.0	0.0
ESPRESSO_chr12_6271_20-chr12:17443-17472_F:2_P:2_M	0.0	1.4103594957458871	0.0	5.890074186305338
ESPRESSO_chr7_26445_1+chr7:24724-24903_F:1_P:27_M	0.0	0.0	0.0	0.0
ESPRESSO_chr12_6273_0-chr12:43409-43486_F:1_P:3	0.0	0.0	0.0	0.0
ENST00000293860.6-chr16:46725-46778_F:0_P:13_M	0.0	0.0	0.0	0.0
ENST00000293860.6-chr16:46805-46879_F:2_P:12_M	0.0	0.0	0.0	0.0
ENST00000481810.1-chr16:47433-47519_F:0_P:12_M	0.0	18.289229364150746	25.73865904029039	0.0
ENST00000293860.6-chr16:47433-53586_F:0_P:0_M	0.0	29.507689912137266	41.620802383304685	0.0
ENST00000293861.8+chr16:53990-57140_F:2_P:0_M	0.0	17.287949456825242	23.643065799743145	0.0
ENST00000466183.1+chr16:54988-55302_F:1_P:2_M	0.0	0.0	0.0	0.0
ENST00000466183.1+chr16:55510-57140_F:1_P:6_M	0.0	7.581404703972117	11.131256650505035	0.0
ENST00000502981.2+chr4:60168-60446_F:2_P:5_M	0.0	0.0	0.0	0.0
ENST00000502981.2+chr4:60382-60417_F:0_P:15_M	0.0	0.0	0.0	0.0
ESPRESSO_chr16_10688_10+chr16:78310-85572_F:1_P:0_M	0.0	18.43043968392398	27.043701538001443	0.0
ESPRESSO_chr16_10688_10+chr16:85457-85774_F:2_P:2_M	0.0	6.993938848797403	10.005052497844048	0.0
ENST00000610261.6+chr4:86487-86903_F:0_P:18_M	0.0	1.3212004098077597	0.0	0.0
ENST00000610261.6+chr4:86620-86652_F:1_P:41_M	0.0	0.0	0.0	0.0
ESPRESSO_chr16_10688_18-chr16:86708-119209_F:1_P:6_M	0.0	6.845967661396086	8.320132873619624	0.0
ENST00000621703.4-chr16:86708-112631_F:1_P:5_M	0.0	7.236473032847213	8.390626357339553	0.0
ENST00000610509.1-chr16:86708-88903_F:1_P:20_M	0.0	4.613458828177724	6.626823555628924	0.0
ENST00000610261.6+chr4:87292-87327_F:1_P:64_M	0.0	0.0	0.0	0.0
ENST00000610261.6+chr4:87452-87547_F:2_P:4_M	0.0	0.0	0.0	0.0
ENST00000610261.6+chr4:87580-87633_F:1_P:72_M	0.0	0.0	0.0	0.0
ENST00000610261.6+chr4:87654-87737_F:0_P:29_M	0.0	0.0	0.0	0.0
ENST00000610261.6+chr4:88037-88087_F:2_P:11_M	0.0	0.0	0.0	0.0
ENST00000610509.1-chr16:88910-89026_F:1_P:19_M	0.0	0.0	0.0	0.0
ENST00000688555.1+chr4:90100-90132_F:1_P:3_M	0.0	0.0	0.0	0.0
ENST00000688555.1+chr4:90721-90777_F:1_P:15_M	0.0	0.0	0.0	0.0
ENST00000688555.1+chr4:90945-91133_F:0_P:21_M	0.0	0.0	0.0	0.0
ENST00000688555.1+chr4:91010-91054_F:2_P:14_M	0.0	0.0	0.0	0.0
ESPRESSO_chr18_13302_9+chr18:108002-108028_F:2_P:0_M	0.0	0.0	0.0	0.0
ESPRESSO_chr18_13302_9+chr18:108342-108436_F:0_P:8_M	0.0	0.0	0.0	0.0
ENST00000663345.1-chr3:110766-110969_F:1_P:23_M	0.0	0.0	0.0	0.0
ENST00000663345.1-chr3:111042-111296_F:1_P:20_M	0.0	0.0	0.0	0.0
ENST00000663345.1-chr3:111277-111438_F:2_P:24_M	0.0	0.0	0.0	0.0
ENST00000621703.4-chr16:112757-138267_F:0_P:1_M	0.0	11.159233234098005	14.247405967107099	0.0
ENST00000382500.4-chr9:117153-117551_F:2_P:5_M	0.0	1.8071785929395212	1.3900944443101775	0.0
ENST00000382500.4-chr9:117981-118058_F:2_P:3_M	0.0	0.0	0.0	0.0
ENST00000464198.5-chr9:121470-123397_F:1_P:10_M	0.0	1.1579431316493516	0.0	0.0
ESPRESSO_chr12_6273_21+chr12:141230-157639_F:0_P:0_M	0.0	4.88365926425413	2.758297755956878	0.0
ENST00000252951.3+chr16:152793-152828_F:0_P:6_M	0.0	0.0	0.0	0.0
ENST00000252951.3+chr16:152910-154397_F:0_P:8_M	0.0	13.728275963608848	0.0	0.0
ENST00000567533.1-chr7:161882-162142_F:1_P:27_M	0.0	0.0	0.0	0.0
ENST00000567533.1-chr7:163931-164119_F:1_P:7_M	0.0	0.0	0.0	0.0
ENST00000567533.1-chr7:164906-164956_F:1_P:0_M	0.0	0.0	0.0	0.0
ESPRESSO_chr1_9_3-chr1:167963-169124_F:0_P:6_M	0.0	3.33954361584451	0.0	13.504741218162925
ENST00000382389.5-chr9:172504-172554_F:2_P:24_M	0.0	0.0	0.0	0.0
ENST00000251595.11+chr16:172913-173597_F:2_P:0_M	0.0	352.3837037485144	0.2630281829222045	0.0
ESPRESSO_chr16_10691_7+chr16:172913-173597_F:2_P:0_M	0.0	505.4284790258368	0.691666703239871	0.0
ESPRESSO_chr16_10691_19+chr16:172913-173597_F:2_P:0_M	0.0	350.72156567226295	0.29880001579962423	0.0
ESPRESSO_chr16_10691_18+chr16:172913-173686_F:2_P:0_M	2.70954543214391	298.092452622794	1.3185324418699078	1.927161617035724
ESPRESSO_chr16_10691_2+chr16:172913-173597_F:2_P:0_M	0.0	789.6993128888246	2.403691886240954	0.0
ESPRESSO_chr16_10691_8+chr16:172913-173597_F:2_P:0_M	0.0	559.4982232939627	1.3867453189851662	0.0
ESPRESSO_chr16_10691_17+chr16:172986-173597_F:0_P:0_M	0.0	370.83547303673595	0.32763159627151783	0.0
ENST00000484216.1+chr16:173126-173461_F:2_P:0_M	0.0	203.339240811503	0.0	0.0
ENST00000382393.2-chr9:173269-178969_F:1_P:2_M	0.0	34.125238523646445	0.0	0.0
ESPRESSO_chr16_10692_16+chr16:176717-177498_F:2_P:0_M	8.425269618139241	307.23973067243753	2.7176469099711604	5.185995415296908
ESPRESSO_chr16_10692_14+chr16:176717-177408_F:2_P:0_M	0.0	364.65426116812256	0.0	0.0
