orf_id,smorf_type,Database,in_cohort,qc_flags,disposition,n_peptides,has_site
ENST00000448905.6+chrX:150983407-150985604_F:1_P:0,uoORF,Salk,True,[],analysed,1,False
ENST00000333942.10+chr17:32142454-32142564_F:1_P:0,uORF,Salk,True,[],analysed,1,False
ESPRESSO_chr15_9961_11-chr15:34367021-34367191_F:1_P:0,uoORF,Salk,True,[],analysed,2,False
ENST00000394411.9-chr5:146878706-146878756_F:1_P:0,uaORF,Salk,True,[],analysed,1,False
ENST00000395833.7-chr11:33869617-33869697_F:0_P:1,uaORF,Salk,True,[],analysed,2,False
ENST00000392178.8+chr19:36115486-36115515_F:1_P:0,uORF,Salk,True,[],analysed,1,False
ENST00000519230.1-chr5:157987629-157987706_F:2_P:0,psORF,Salk,True,[],analysed,1,False
ENST00000300060.7-chr15:89785338-89790469_F:0_P:35,daoORF,Salk,True,[],analysed,1,False
ENST00000275227.9-chr6:132798497-132798556_F:1_P:1,uORF,Salk,True,[],analysed,1,True
ENST00000616428.2-chr18:79678880-79679062_F:1_P:3,lncRNA,Salk,True,[],analysed,2,False
ENST00000687593.1+chrX:147912071-147912160_F:2_P:0,uORF,Salk,True,[],analysed,2,False
ENST00000295454.8+chr4:47425819-47425920_F:2_P:24,iORF,Salk,True,[],analysed,1,False
ESPRESSO_chr22_19938_29-chr22:50258301-50261136_F:0_P:0,iORF,Salk,True,[],analysed,1,True
ESPRESSO_chr7_27418_11+chr7:98107198-98137417_F:1_P:0,iORF,Salk,True,[],analysed,3,False
ENST00000203166.10+chr19:35622710-35622905_F:1_P:8,daoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr17_12319_73-chr17:28578751-28579234_F:1_P:40,iORF,Salk,True,[],analysed,1,True
ESPRESSO_chr9_30708_12+chr9:134429118-134429234_F:1_P:6,iORF,Salk,True,[],analysed,1,True
ENST00000660884.1+chr20:38447017-38447073_F:1_P:3,lncRNA,Salk,True,[],analysed,1,False
ESPRESSO_chr11_4460_1+chr11:840398-842483_F:2_P:2,eORF,Salk,True,[],analysed,1,True
ENST00000360392.4-chr14:50997771-50997794_F:0_P:19,daORF,Salk,True,[],analysed,1,False
ENST00000196371.10-chr5:41731515-41731571_F:2_P:29,dORF,Salk,True,[],analysed,1,False
ENST00000375647.5+chr1:22527995-22528069_F:1_P:77,dORF,Salk,True,[],analysed,1,True
ENST00000305798.8-chr4:98658362-98658475_F:1_P:1,uORF,Salk,True,[],analysed,1,True
ENST00000564629.1-chr16:31457457-31457621_F:2_P:11,lncRNA,Salk,True,[],analysed,3,True
ENST00000284061.8+chr17:56864520-56864561_F:2_P:39,dORF,Salk,True,[],analysed,1,False
ENST00000597777.1+chr13:98433860-98433982_F:2_P:24,iORF,Salk,True,[],analysed,2,False
ENST00000338733.10-chr3:186546471-186546491_F:2_P:44,dORF,Salk,True,[],analysed,1,False
ENST00000610159.1-chr4:139451276-139451446_F:1_P:36,lncRNA,Salk,True,[],analysed,1,True
ENST00000663398.2-chr9:137617105-137617185_F:0_P:16,lncRNA,Salk,True,[],analysed,1,False
ENST00000570440.2-chr16:10938641-10938832_F:1_P:53,dORF,Salk,True,[],analysed,2,False
ENST00000687101.1+chr5:64881389-64881409_F:2_P:0,iORF,Salk,True,[],analysed,1,False
ENST00000345042.6-chr2:197497376-197500182_F:0_P:2,uoORF,Salk,True,[],analysed,1,False
ENST00000466078.1+chr13:32650010-32650075_F:2_P:29,iORF,Salk,True,[],analysed,1,False
ENST00000640253.1+chr20:45424322-45424360_F:2_P:9,daoORF,Salk,True,[],analysed,1,False
ENST00000424649.6-chr12:120265654-120265770_F:0_P:0,uORF,Salk,True,[],analysed,1,False
ESPRESSO_chr9_30595_42+chr9:128250327-128253112_F:0_P:0,iORF,Salk,True,[],analysed,2,False
ENST00000328965.9+chr11:120211032-120211406_F:0_P:0,uoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr3_20492_32-chr3:69432730-69542392_F:1_P:2,uORF,Salk,True,[],analysed,1,True
ENST00000623646.3+chr8:62979208-62979321_F:1_P:248,daORF,Salk,True,[],analysed,1,False
ENST00000686484.1-chr20:28602673-28602717_F:0_P:1,lncRNA,Salk,True,[],analysed,1,False
ENST00000326232.14-chr7:140382562-140398503_F:0_P:1,uORF,Salk,True,[],analysed,1,False
ENST00000545314.5+chr1:65229438-65229476_F:2_P:79,dORF,Salk,True,[],analysed,1,False
ENST00000555147.2+chr16:89919183-89919380_F:0_P:3,uoORF,Salk,True,[],analysed,1,False
ENST00000476344.1+chr1:149899640-149900470_F:2_P:1,N-Iso,Salk,True,[],analysed,2,False
ESPRESSO_chr3_20175_16-chr3:36831037-36831171_F:0_P:9,daoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr1_402_12+chr1:22781455-22784414_F:1_P:1,iORF,Salk,True,[],analysed,1,False
ESPRESSO_chr20_18618_13+chr20:62668293-62668343_F:1_P:4,daORF,Salk,True,[],analysed,1,False
ENST00000252137.11-chr22:19134174-19134419_F:1_P:14,daoORF,Salk,True,[],analysed,1,True
ESPRESSO_chr12_7096_0-chr12:71685975-71686040_F:2_P:0,eORF,Salk,True,[],analysed,1,False
ENST00000462498.1-chr19:19182623-19192178_F:2_P:2,N-Iso,Salk,True,[],analysed,1,False
ENST00000348520.10+chr14:103712655-103712855_F:2_P:124,dORF,Salk,True,[],analysed,2,False
ENST00000604828.1+chr9:20875358-20875381_F:2_P:40,iORF,Salk,True,[],analysed,1,False
ENST00000589788.1-chr17:28655971-28656033_F:0_P:4,iORF,Salk,True,[],analysed,1,False
ENST00000409299.8-chr20:33703065-33703232_F:0_P:72,dORF,Salk,True,[],analysed,1,True
ENST00000396602.7+chr11:9508803-9508832_F:1_P:25,iORF,Salk,True,[],analysed,1,True
ENST00000320285.9-chr6:161133841-161133876_F:2_P:64,dORF,Salk,True,[],analysed,1,False
ENST00000249822.9-chr15:52549290-52549319_F:2_P:56,dORF,Salk,True,[],analysed,1,False
ENST00000646225.1-chr14:19125146-19125187_F:1_P:62,lncRNA,Salk,True,[],analysed,1,False
ENST00000215730.12+chr22:20891021-20891062_F:1_P:66,dORF,Salk,True,[],analysed,1,True
ENST00000371741.6-chr20:49366986-49367057_F:0_P:107,daORF,Salk,True,[],analysed,1,True
ESPRESSO_chr10_3915_26+chr10:86959635-86962982_F:1_P:2,Iso,Salk,True,[],analysed,1,False
ENST00000495397.1+chr1:161728017-161728055_F:2_P:15,dORF,Salk,True,[],analysed,1,False
ESPRESSO_chr15_9829_3+chr15:23135104-23135160_F:1_P:20,eORF,Salk,True,[],analysed,1,False
ESPRESSO_chr9_29940_9-chr9:63311853-63311888_F:2_P:71,lncRNA,Salk,True,[],analysed,1,False
ENST00000484259.3+chr9:69073249-69073365_F:2_P:11,dORF,Salk,True,[],analysed,1,False
ENST00000328459.11-chr14:90539547-90539660_F:1_P:23,dORF,Salk,True,[],analysed,1,False
ENST00000565462.2-chr16:31427817-31428285_F:0_P:0,iORF,Salk,True,[],analysed,1,True
ESPRESSO_chr11_6032_67+chr11:118488640-118489805_F:1_P:41,iORF,Salk,True,[],analysed,1,True
ENST00000688002.1-chr19:4099547-4099663_F:1_P:6,iORF,Salk,True,[],analysed,1,False
ENST00000258874.4-chr15:79843987-79844013_F:2_P:31,dORF,Salk,True,[],analysed,1,False
ESPRESSO_chr12_6975_28+chr12:57615712-57616891_F:1_P:19,iORF,Salk,True,[],analysed,1,False
ESPRESSO_chr17_12335_33+chr17:29507961-29508017_F:2_P:33,iORF,Salk,True,[],analysed,1,True
ESPRESSO_chr16_11122_56+chr16:30070117-30070209_F:2_P:5,Iso,Salk,True,[],analysed,1,False
ENST00000262768.11-chr17:78873898-78925386_F:0_P:0,uoORF,Salk,True,[],analysed,2,True
ENST00000649865.1+chr15:98962001-98962123_F:1_P:111,dORF,Salk,True,[],analysed,1,True
ENST00000382264.7+chr21:33229901-33241908_F:2_P:0,uoORF,Salk,True,[],analysed,3,False
ENST00000300417.11+chr9:127479871-127481221_F:1_P:14,daoORF,Salk,True,[],analysed,2,False
ENST00000330106.5-chr11:788266-788622_F:0_P:1,uoORF,Salk,True,[],analysed,2,True
ESPRESSO_chr8_28399_23+chr8:22054936-22066848_F:1_P:0,uORF,Salk,True,[],analysed,1,True
ENST00000596267.1+chr10:43454281-43454301_F:1_P:31,iORF,Salk,True,[],analysed,1,False
ENST00000247706.4-chr19:17292316-17292630_F:1_P:3,dORF,Salk,True,[],analysed,1,False
ENST00000376597.9+chr9:78236224-78236544_F:1_P:1,uoORF,Salk,True,[],analysed,1,True
ENST00000623126.1-chr17:8015029-8015136_F:0_P:12,eORF,Salk,True,[],analysed,1,True
ENST00000243052.8+chr12:54549602-54549970_F:2_P:0,uoORF,Salk,True,[],analysed,2,True
ENST00000614046.1+chr17:68205884-68206060_F:2_P:2,psORF,Salk,True,[],analysed,1,True
ENST00000479399.5-chr9:34615043-34615126_F:1_P:21,iORF,Salk,True,[],analysed,1,True
ESPRESSO_chr7_26684_13+chr7:26201769-26201822_F:0_P:1,uORF,Salk,True,[],analysed,1,False
ENST00000358776.7+chr10:123041334-123043050_F:2_P:15,iORF,Salk,True,[],analysed,2,True
ENST00000367634.7+chr1:178725220-178725300_F:1_P:0,uORF,Salk,True,[],analysed,1,True
