transcript_ID,transcript_name,gene_ID,sample_1092_PAM41667,sample_1131_PAM44580,sample_1163_PAM44604,sample_1186_PAM43869,sample_1218_PAM43779,sample_1271_PAM44815,sample_1291_PAG71816,sample_1304_PAM44487,sample_5292_PAG75292,sample_5295_PAG77944,sample_5356_PAM42933,sample_579_PAG75663
ENST00000606507.1,RPL23AP53-202,ENSG00000223508.5,3.46,0.48,3.43,1.55,4,9.21,4.95,0,3.05,2.93,1.67,2.38
ENST00000350302.8,FBXO25-202,ENSG00000147364.17,4.14,2.05,8.03,14.71,8.8,3.91,6.36,5.13,8.75,6.46,0.92,5.04
ENST00000382824.5,FBXO25-204,ENSG00000147364.17,3.03,0.47,5.02,0.08,0.87,7.94,3.12,4.15,7.93,2.78,1.38,6.58
ENST00000262109.8,ERICH1-201,ENSG00000104714.14,9.69,3.87,4.06,2.85,5.3,4.55,5.93,3.87,8.15,2.74,0.83,7.36
ENST00000523053.1,ERICH1-208,ENSG00000104714.14,3.17,2.9,1.04,0.73,2.56,1.53,2.32,0,3.22,3.13,0,2.97
ESPRESSO:chr8:28139:92,NA,ENSG00000104714.14,0.4,0,0.28,1.14,2.06,0.4,0,1.94,2.82,0.25,2.5,1.09
ESPRESSO:chr8:28139:28,NA,NA,0,0.97,0,0.6,0.75,0,0.63,2.42,0.46,2.47,0,0
ENST00000518481.2,CLN8-AS1-202,ENSG00000253982.3,14.27,1.45,9.5,26.61,71.98,20.36,50.76,31.48,29.85,46.91,2.5,26.8
ENST00000331222.6,CLN8-201,ENSG00000182372.10,0.14,0,2.37,1.26,0.94,1.03,1.52,0.12,0,0.63,1.56,0.61
ESPRESSO:chr8:28143:5,NA,NA,0,0,1.72,0,2.14,0.81,0.95,0.97,0.18,0.66,0,1.14
ESPRESSO:chr8:28143:9,NA,NA,0,0,1.1,1.94,1.39,0.18,4.42,0,1.29,2.96,0,0.08
ENST00000612167.4,MYOM2-214,ENSG00000036448.10,0.61,0,1.92,0.12,2.38,2,0.53,0,2.18,5.32,0,1.02
ENST00000518513.1,MYOM2-204,ENSG00000036448.10,0,0.48,0.49,0.24,1.17,1.17,1.16,2.42,1.66,0.33,0,2.36
ESPRESSO:chr8:28146:10,NA,ENSG00000036448.10,0,0.97,0.12,0,0.64,1.35,1.51,0.16,0.66,0.49,0.42,1.25
ESPRESSO:chr8:28146:14,NA,ENSG00000036448.10,4.8,0.32,0,0.08,3.02,4.25,0.14,0.97,3.89,2.07,0.98,3.76
ESPRESSO:chr8:28146:2,NA,NA,3.6,0,0.86,0.85,0,1.98,0,11.14,0.74,0,0,0.84
ESPRESSO:chr8:28146:16,NA,ENSG00000036448.10,0.22,0.32,1.06,0.08,0.38,2.51,0.14,0.97,3.68,1.38,0.98,1.21
ESPRESSO:chr8:28146:11,NA,ENSG00000036448.10,0.14,0.48,2.69,2.66,2.46,2.61,2.8,0.16,4.22,2.74,0.42,0.58
ESPRESSO:chr8:28147:29,NA,NA,2.31,4.35,0.74,0.97,0.32,1.98,0.11,7.26,1.11,0.16,14.6,0.46
ESPRESSO:chr8:28148:27,NA,NA,2.31,4.35,0.74,0.97,0.32,1.98,0.11,7.26,1.11,0.16,14.6,0.46
ENST00000684782.1,MCPH1-208,ENSG00000147316.15,0,1.93,0.2,1.3,0.8,0.75,0.88,2.91,0.74,0.2,2.09,0.53
ENST00000629816.3,ANGPT2-204,ENSG00000091879.14,0.86,0,0.9,1.89,1.22,0.41,4.83,0,1.66,25.06,0,1.69
ENST00000519480.6,MCPH1-203,ENSG00000147316.15,0,0,1.08,0,2.09,0.98,6.09,0,1.29,1.59,0,0.7
ENST00000344683.10,MCPH1-201,ENSG00000147316.15,5.04,0,0.79,1.74,2.39,4.7,3.83,0,3.04,2.5,2.07,2.56
ESPRESSO:chr8:28170:38,NA,NA,0.43,0,0.74,1.09,0.64,0.72,2.11,0,0.64,1.65,0,0.3
ENST00000285518.11,AGPAT5-201,ENSG00000155189.12,0,5.74,2.19,0.47,2.46,0.18,2,1.94,1.2,1.81,0,1.94
ENST00000297439.4,DEFB1-201,ENSG00000164825.4,2.16,0,0.74,161.6,2.24,2.43,1.05,0,1.47,0.82,0,0.3
ESPRESSO:chr8:28174:3,NA,NA,0,0,0.92,2.54,0.96,2.97,0,0,1.29,2.8,0,0.61
ENST00000327857.7,DEFA3-201,ENSG00000239839.7,1.44,0,5.08,0,0,0,7.58,15.5,0,5.1,0.83,1.9
ESPRESSO:chr8:28191:3,NA,NA,3.17,9.67,0.92,1.21,2.03,2.16,2.53,7.26,2.12,3.13,6.67,1.14
ESPRESSO:chr8:28191:4,NA,NA,0.43,1.93,0.43,0.36,0.32,0.54,1.05,1.94,0.55,0.99,2.09,0.08
ESPRESSO:chr8:28194:1,NA,NA,3.6,3.38,0.18,0.12,3.31,1.26,1.26,0.48,2.3,1.81,0,2.28
ESPRESSO:chr8:28213:0,NA,NA,0,1.45,0.55,0,0.11,0.45,0.84,1.45,0.92,0,1.25,0.46
ESPRESSO:chr8:28224:0,NA,NA,1.15,5.32,0,1.69,0.43,1.08,0.53,3.39,0.55,0.66,1.25,0.3
ESPRESSO:chr8:28225:1,NA,NA,1.15,5.32,0,1.69,0.43,1.08,0.53,3.39,0.55,0.66,1.25,0.3
ESPRESSO:chr8:28259:5,NA,NA,5.33,0,0,1.57,1.28,0,2.53,0,0,2.47,13.76,1.14
