smorf_id	chrom	strand	smorf_cds_start	smorf_cds_end	n_cds_blocks	smorf_record_type	n_compatible_tx	n_gencode	n_encode	n_espresso	n_parent	n_tx_nmd	nmd_any	nmd_all	n_tx_nsd	nsd_any	nsd_all	n_tx_nsd_confident	nsd_confident_any	n_tx_nsd_truncated_model	nsd_transcripts	cds_internal_stops	cds_geometry_ok	n_tx_main_orf_not_full	main_orf_not_full_any	n_tx_main_orf_start_lost	n_tx_smorf_is_primary_orf	smorf_is_primary_orf_any	host_genes	truncated_main_orf_transcripts	primary_orf_transcripts	nmd_transcripts	disruption_tiers	disruption_qualifying_any	nmd_and_disrupted_any	n_tx_nmd_and_disrupted	nmd_and_disrupted_transcripts	decay_class_counts	geometry_source_biotype
A0A024R3B9	chr11	-	111908767	111910449	2	TrEMBL_recovered	47	20	14	11	2	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	20	TRUE	16	5	TRUE	CRYAB	GENCODE_v50:ENST00000533280.7;GENCODE_v50:ENST00000526167.6;GENCODE_v50:ENST00000651650.2;GENCODE_v50:ENST00000525823.2;GENCODE_v50:ENST00000528961.7;GENCODE_v50:ENST00001013645.1;GENCODE_v50:ENST00001091814.1;GENCODE_v50:ENST00000652606.1;ENCODE4:ENSG00000109846[6,13,1];ENCODE4:ENSG00000109846[6,12,1];ENCODE4:ENSG00000109846[6,17,1];ENCODE4:ENSG00000109846[6,16,1];ENCODE4:ENSG00000109846[1,11,1];ENCODE4:ENSG00000109846[6,11,1];ESPRESSO:ENST00000526167.5;ESPRESSO:ENST00000525823.1;ESPRESSO:ESPRESSO_chr11_5957_42;ESPRESSO:ENST00000533280.6;smORF_parent:A0A024R3B9;smORF_parent:E9PNH7	GENCODE_v50:ENST00000652606.1;ESPRESSO:ENST00000526167.5;ESPRESSO:ENST00000525823.1;ESPRESSO:ESPRESSO_chr11_5957_42;ESPRESSO:ENST00000533280.6		BC	TRUE	FALSE	0		nmd_immune_last_exon:46;nmd_unlikely_within_50nt:1	exact_envelope_match
A0A024R772	chr7	-	123542122	123550481	3	TrEMBL_recovered	40	15	19	4	2	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	31	TRUE	13	4	TRUE	NDUFA5	GENCODE_v50:ENST00000677264.2;GENCODE_v50:ENST00000471770.5;GENCODE_v50:ENST00000676730.2;GENCODE_v50:ENST00000677391.2;GENCODE_v50:ENST00000677251.2;GENCODE_v50:ENST00000679163.2;GENCODE_v50:ENST00000676614.2;GENCODE_v50:ENST00000676516.2;GENCODE_v50:ENST00000985363.1;GENCODE_v50:ENST00001097885.1;GENCODE_v50:ENST00000678090.2;GENCODE_v50:ENST00000611607.5;GENCODE_v50:ENST00000677306.1;ENCODE4:ENSG00000128609[1,6,1];ENCODE4:ENSG00000128609[5,3,1];ENCODE4:ENSG00000128609[5,3,9];ENCODE4:ENSG00000128609[5,3,10];ENCODE4:ENSG00000128609[5,3,11];ENCODE4:ENSG00000128609[6,28,3];ENCODE4:ENSG00000128609[1,29,3]	GENCODE_v50:ENST00000677306.1;ESPRESSO:ENST00000676614.1;ESPRESSO:ENST00000677264.1;ESPRESSO:ENST00000611607.4		BC	TRUE	FALSE	0		nmd_immune_last_exon:40	exact_envelope_match
A0A075B6E2	chr19	+	41869081	41871374	3	TrEMBL_recovered	46	24	9	12	1	3	TRUE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	21	TRUE	4	4	TRUE	RPS19	GENCODE_v50:ENST00000996847.1;GENCODE_v50:ENST00001104508.1;GENCODE_v50:ENST00001085829.1;GENCODE_v50:ENST00001085847.1;GENCODE_v50:ENST00001019011.1;GENCODE_v50:ENST00000996845.1;GENCODE_v50:ENST00000996846.1;GENCODE_v50:ENST00001085861.1;GENCODE_v50:ENST00001085862.1;GENCODE_v50:ENST00001085864.1;GENCODE_v50:ENST00001104506.1;GENCODE_v50:ENST00001104507.1;GENCODE_v50:ENST00001019007.1;GENCODE_v50:ENST00000221975.6;GENCODE_v50:ENST00001085874.1;ENCODE4:ENSG00000105372[1,4,2];ESPRESSO:ESPRESSO_chr19_14916_12;ESPRESSO:ESPRESSO_chr19_14916_23;ESPRESSO:ESPRESSO_chr19_14916_9;ESPRESSO:ENST00000221975.6	ESPRESSO:ESPRESSO_chr19_14916_12;ESPRESSO:ESPRESSO_chr19_14916_23;ESPRESSO:ESPRESSO_chr19_14916_9;ESPRESSO:ENST00000221975.6	ESPRESSO:ESPRESSO_chr19_14916_18;ESPRESSO:ESPRESSO_chr19_14916_17;ESPRESSO:ESPRESSO_chr19_14916_16	BC	TRUE	FALSE	0		nmd_immune_last_exon:43;nmd_predicted_50nt:3	exact_envelope_match
A0A087WT92	chr7	+	100148973	100153961	3	TrEMBL_recovered	4	1	1	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	4	TRUE	0	1	TRUE	LAMTOR4	GENCODE_v50:ENST00000474141.6;ENCODE4:ENSG00000188186[1,4,1];ESPRESSO:ENST00000474141.5;smORF_parent:A0A087WT92	ESPRESSO:ENST00000474141.5		none	FALSE	FALSE	0		nmd_immune_last_exon:4	exact_envelope_match
A0A087WT94	chr8	+	22066878	22067648	3	TrEMBL_recovered	22	14	5	1	2	19	TRUE	FALSE	22	TRUE	TRUE	17	TRUE	2	GENCODE_v50:ENST00000381470.8;GENCODE_v50:ENST00000432128.7;GENCODE_v50:ENST00000517305.6;GENCODE_v50:ENST00000520856.1;GENCODE_v50:ENST00001133182.1;GENCODE_v50:ENST00000358242.6;GENCODE_v50:ENST00000265800.10;GENCODE_v50:ENST00000523266.6;GENCODE_v50:ENST00000519907.6;GENCODE_v50:ENST00000415253.6;ENCODE4:ENSG00000158856[6,30,1];ENCODE4:ENSG00000158856[6,27,1];ENCODE4:ENSG00000158856[5,33,1];ENCODE4:ENSG00000158856[2,34,1];ENCODE4:ENSG00000158856[2,39,1];ESPRESSO:ESPRESSO_chr8_28399_23;smORF_parent:ESPRESSO_chr8_28399_23+chr8:22054936-22066848_F:1_P:0	0	TRUE	16	TRUE	0	2	TRUE	DMTN	GENCODE_v50:ENST00000519850.5;GENCODE_v50:ENST00000381470.8;GENCODE_v50:ENST00000520856.1;GENCODE_v50:ENST00000517804.5;GENCODE_v50:ENST00000517418.5;GENCODE_v50:ENST00000519907.6;GENCODE_v50:ENST00000415253.6;GENCODE_v50:ENST00000522340.5;ENCODE4:ENSG00000158856[6,30,1];ENCODE4:ENSG00000158856[6,27,1];ENCODE4:ENSG00000158856[5,33,1];ENCODE4:ENSG00000158856[2,34,1];ENCODE4:ENSG00000158856[2,39,1];ESPRESSO:ESPRESSO_chr8_28399_23;smORF_parent:ESPRESSO_chr8_28399_23+chr8:22054936-22066848_F:1_P:0;smORF_parent:A0A087WT94	GENCODE_v50:ENST00000520856.1;ESPRESSO:ESPRESSO_chr8_28399_23	GENCODE_v50:ENST00000519850.5;GENCODE_v50:ENST00000381470.8;GENCODE_v50:ENST00000432128.7;GENCODE_v50:ENST00000517305.6;GENCODE_v50:ENST00001133182.1;GENCODE_v50:ENST00000358242.6;GENCODE_v50:ENST00000517804.5;GENCODE_v50:ENST00000265800.10;GENCODE_v50:ENST00000517418.5;GENCODE_v50:ENST00000523266.6;GENCODE_v50:ENST00000519907.6;GENCODE_v50:ENST00000415253.6;ENCODE4:ENSG00000158856[6,30,1];ENCODE4:ENSG00000158856[6,27,1];ENCODE4:ENSG00000158856[5,33,1];ENCODE4:ENSG00000158856[2,34,1];ENCODE4:ENSG00000158856[2,39,1];ESPRESSO:ESPRESSO_chr8_28399_23;smORF_parent:ESPRESSO_chr8_28399_23+chr8:22054936-22066848_F:1_P:0	B	TRUE	FALSE	0		nsd_predicted_no_stop:22	protein_coding
A0A087WTA9	chr4	-	56809988	56821662	2	TrEMBL_recovered	2	1	0	0	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	2	TRUE	0	0	FALSE	SPINK2	GENCODE_v50:ENST00000618802.4;smORF_parent:A0A087WTA9			none	FALSE	FALSE	0		nmd_immune_last_exon:2	local_gtf
A0A087WTE2	chr16	-	112754	138267	3	TrEMBL_recovered	9	4	3	1	1	9	TRUE	TRUE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	9	TRUE	0	1	TRUE	NPRL3	GENCODE_v50:ENST00001008872.1;GENCODE_v50:ENST00000995264.1;GENCODE_v50:ENST00000621703.4;GENCODE_v50:ENST00001059187.1;ENCODE4:ENSG00000103148[2,5,2];ENCODE4:ENSG00000103148[1,5,2];ENCODE4:ENSG00000103148[1,5,9];ESPRESSO:ENST00000621703.4;smORF_parent:A0A087WTE2	ESPRESSO:ENST00000621703.4	GENCODE_v50:ENST00001008872.1;GENCODE_v50:ENST00000995264.1;GENCODE_v50:ENST00000621703.4;GENCODE_v50:ENST00001059187.1;ENCODE4:ENSG00000103148[2,5,2];ENCODE4:ENSG00000103148[1,5,2];ENCODE4:ENSG00000103148[1,5,9];ESPRESSO:ENST00000621703.4;smORF_parent:A0A087WTE2	B	TRUE	TRUE	1	ESPRESSO:ENST00000621703.4	nmd_predicted_50nt:9	nonsense_mediated_decay
A0A087WTF2	chr1	+	46303767	46310234	4	TrEMBL_recovered	4	1	1	1	1	4	TRUE	TRUE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	4	TRUE	0	1	TRUE	UQCRH	GENCODE_v50:ENST00000496387.5;ENCODE4:ENSG00000173660[1,3,1];ESPRESSO:ENST00000496387.5;smORF_parent:A0A087WTF2	ESPRESSO:ENST00000496387.5	GENCODE_v50:ENST00000496387.5;ENCODE4:ENSG00000173660[1,3,1];ESPRESSO:ENST00000496387.5;smORF_parent:A0A087WTF2	none	FALSE	FALSE	0		nmd_predicted_50nt:4	nonsense_mediated_decay
A0A087WTJ7	chr15	+	63042830	63044230	2	TrEMBL_recovered	4	1	1	1	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	4	TRUE	0	1	TRUE	TPM1	GENCODE_v50:ENST00000610733.2;ENCODE4:ENSG00000140416[1,7,2];ESPRESSO:ENST00000610733.1;smORF_parent:A0A087WTJ7	ESPRESSO:ENST00000610733.1		none	FALSE	FALSE	0		nmd_immune_last_exon:4	exact_envelope_match
A0A087WTT2	chr20	-	5069191	5109430	3	TrEMBL_recovered	6	4	1	0	1	0	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	0		0	TRUE	6	TRUE	0	0	FALSE	TMEM230	GENCODE_v50:ENST00000615008.5;GENCODE_v50:ENST00001098217.1;GENCODE_v50:ENST00001098218.1;GENCODE_v50:ENST00000612323.5;ENCODE4:ENSG00000089063[1,9,3];smORF_parent:A0A087WTT2			none	FALSE	FALSE	0		nmd_immune_last_exon:4;nmd_unlikely_within_50nt:2	local_gtf
