smorf_id	strand	outcome	n_peptides	old_thick	new_thick	new_cds_aa
A0A075B7B8	+	rephased	2	33802763-33802763	33803020-33803215	65
A0A075B7D0	-	rephased	1	21717807-21717807	22160423-22160519	32
A0A075B7E8	+	rephased	2	33827213-33827213	33827554-33827659	35
A0A075B7F0	+	rephased	1	32995047-32995047	32995311-32995503	64
A0A087WT94	+	rephased	1	22066877-22067648	22067532-22069261	132
A0A087WW72	+	rephased	1	46260790-46261015	46259965-46267608	255
A0A087WXN3	-	rephased	1	1986963-1990145	1986964-1990146	116
A0A087X0Y3	-	rephased	1	149058181-149063805	149058183-149063639	88
A0A096LP52	+	no_frame_holds_all_peptides	2			
A0A0A0MT69	-	rephased	1	88860885-88860885	88860886-88860922	12
A0A0A0MTA2	+	rephased	1	142796696-142796696	142796696-142796741	15
A0A0B4J2B8	-	rephased	1	19964665-19964665	19964667-19964949	94
A0A0J9YWI3	-	rephased	1	13675037-13701385	13675039-13693952	32
A0A0U1RQN3	+	rephased	1	58311315-58312314	58311313-58312312	85
A0A109PLW1	+	no_frame_holds_all_peptides	1			
A0A1B0GUT6	-	rephased	5	102405347-102409090	102405349-102409290	209
A0A1B0GUY8	+	rephased	1	126898935-126899427	126898933-126899425	131
A0A286YF95	-	rephased	1	86103212-86159417	86103214-86107246	18
A0A286YFE1	+	rephased	1	119721317-119734676	119727096-119734675	16
A0A2R8Y677	-	rephased	1	39343179-39343239	39343181-39343241	20
A0A2R8Y6S7	-	rephased	1	66596846-67069106	66596847-67069107	46
A0A2R8Y7W1	+	rephased	1	181776101-181783784	181779464-181783783	60
A0A2R8YEI8	+	rephased	1	31802752-31804219	31802750-31804217	48
A0A3B3IRP2	-	rephased	1	7203551-7211697	7203553-7211699	129
A0A494BZW4	+	rephased	1	50141854-50177128	50145115-50201115	290
A0A494C0H6	+	rephased	1	140114182-140114500	140114181-140115147	322
A0A590UJI2	-	rephased	1	47161722-47162587	47160778-47161771	25
A0A5F9ZGW6	-	rephased	8	32209488-32428130	32209489-32428131	120
A0A7I2V345	-	rephased	1	42242182-42242464	42242183-42242465	50
A0A7I2YQU1	-	rephased	1	119912703-119916173	119912704-119916168	57
A0A8I5KTA1	+	rephased	1	43765527-43766910	43766734-43768597	95
A0A8V8TP99	+	rephased	1	228097115-228097452	228097177-228097451	65
A0A8V8TPG9	+	rephased	1	228097115-228097199	228097165-228097615	104
A0N4Z7	+	rephased	1	22533496-22533496	22533496-22533559	21
A6PVN8	+	rephased	1	129120587-129134827	129120586-129134826	129
B0AZT5	-	rephased	2	113721759-113721759	113723383-113723464	27
B1B1G6	+	rephased	1	103776996-103786682	103776995-103786753	160
B4DM50	+	rephased	1	197540380-197540380	197540380-197540458	26
B4DQX9	+	no_frame_holds_all_peptides	1			
B7ZBR9	+	rephased	1	113014772-113064311	113001283-113064309	186
C9J3P9	-	rephased	1	146206586-146222069	146196707-146206708	104
C9J473	-	rephased	2	27311934-27313099	27309914-27313101	150
C9J6N9	-	rephased	2	19467872-19475588	19467814-19479085	160
C9J6V4	+	rephased	1	142907770-143037223	142932107-143037221	27
C9J7B1	+	rephased	1	55982257-55984877	55983760-55984876	46
C9J7H8	-	rephased	1	21643945-21654669	21643947-21646956	73
C9JAD7	+	rephased	1	111217683-111217800	111217681-111217885	68
C9JB55	+	rephased	1	133748502-133754528	133748500-133754658	119
C9JDL2	-	rephased	3	219251586-219252785	219251588-219252991	187
C9JFS8	+	rephased	1	43594219-43595018	43594945-43595017	24
C9JG93	+	rephased	1	241324234-241326051	241324232-241335235	80
C9JH37	+	rephased	1	319778-328223	319818-365999	515
C9JNQ3	-	rephased	1	76332286-76383888	76332287-76383889	104
C9JRL4	+	rephased	1	63595457-63599288	63595455-63606984	289
C9JWG0	+	rephased	1	63856321-63884003	63882570-63884001	41
C9JY37	-	rephased	1	167621468-167653424	167621469-167653425	113
C9JZ81	+	rephased	1	216113035-216119108	216113033-216127634	286
C9JZR7	-	rephased	1	5529215-5529655	5529047-5529280	44
C9K068	+	rephased	1	55982258-55994938	55984855-55999069	88
C9K0I9	+	rephased	1	191276897-191296226	191276952-191350290	190
D6R960	+	rephased	2	175878740-175879998	175879038-175879997	65
D6RAR7	-	rephased	2	15523054-15533356	15522977-15585761	195
D6RBG2	-	rephased	1	141868953-141869403	141868955-141869348	131
D6RC54	+	rephased	1	96742662-96750621	96742660-96750619	91
D6RCR6	+	rephased	1	43615860-43616034	43615994-43616033	13
D6RDG7	+	rephased	1	175492105-175510207	175509188-175510208	38
D6RDM7	+	rephased	1	39698328-39778384	39777795-39778383	13
D6RF44	-	rephased	2	82357436-82359633	82357438-82358757	35
D6RGJ3	+	rephased	1	72107532-72183823	72107531-72195248	631
D6RGV5	-	rephased	1	75240300-75243733	75240301-75241908	87
E5RFU0	-	rephased	1	83662346-83707926	83662347-83665456	31
E5RG43	-	rephased	1	85333526-85341634	85333527-85341635	149
E5RGG6	-	rephased	1	133262046-133264551	133259166-133264553	64
E5RIF9	-	rephased	1	85333529-85341634	85333527-85341635	149
E5RJR0	-	rephased	1	151137308-151147900	151137309-151138728	21
E5RJR4	+	rephased	1	160422588-160424294	160422587-160424293	121
E5RK23	-	rephased	1	111714370-111720049	111702879-111720051	234
E5RK27	+	rephased	3	42394259-42401886	42394242-42401884	113
E7ESK7	-	rephased	1	100924921-100948888	100924113-100924973	81
E7EUS7	+	rephased	1	36608424-36629572	36629532-36629667	45
E9PEW8	-	rephased	1	5233992-5234432	5232690-5234140	86
E9PJL7	-	rephased	1	111908902-111911722	111908766-111910449	108
E9PJL9	+	rephased	1	67608701-67610460	67609569-67611928	183
E9PJN9	+	rephased	1	75404048-75404156	75404116-75404862	94
E9PM95	-	rephased	1	36228031-36233160	36227982-36228225	81
E9PN15	-	rephased	1	109011575-109013865	109011577-109013867	56
