accession	gene_name	frame_shift	old_cds_nt	new_cds_nt	protein_aa	fasta_aa	internal_stops_before	ends_in_stop	runs_off_tx_3prime	old_cds	new_cds
A0A087WW72		1	225	225	75	75	4	FALSE	TRUE	46260791-46261015	46260790-46261014
A0A087WXN3		1	348	348	116	116	1	FALSE	TRUE	1986964-1986976,1987166-1987253,1987500-1987692,1990092-1990145	1986965-1986976,1987166-1987253,1987500-1987692,1990092-1990146
A0A0J9YWI3		2	231	231	77	77	3	FALSE	TRUE	13675038-13675044,13693482-13693517,13693898-13694039,13701340-13701385	13675040-13675044,13693482-13693517,13693898-13694039,13701340-13701387
A0A0U1RQN3		2	255	255	85	85	2	FALSE	TRUE	58311316-58311380,58312021-58312061,58312166-58312314	58311314-58311380,58312021-58312061,58312166-58312312
A0A1B0GUT6		2	429	429	143	143	3	FALSE	TRUE	102405348-102405536,102407223-102407266,102408895-102409090	102405350-102405536,102407223-102407266,102408895-102409092
A0A1B0GUY8		2	393	393	131	131	9	FALSE	TRUE	126898936-126899117,126899217-126899427	126898934-126899117,126899217-126899425
A0A286YF95		2	282	282	94	94	6	FALSE	TRUE	86103213-86103244,86107223-86107352,86159298-86159417	86103215-86103244,86107223-86107352,86159298-86159419
A0A286YFE1		1	267	267	89	89	7	FALSE	TRUE	119721318-119721321,119723376-119723441,119726851-119726905,119727004-119727102,119734634-119734676	119721317-119721321,119723376-119723441,119726851-119726905,119727004-119727102,119734634-119734675
A0A2R8Y677		2	60	60	20	20	4	FALSE	TRUE	39343180-39343239	39343182-39343241
A0A2R8Y6S7		1	138	138	46	46	1	FALSE	TRUE	66596847-66596927,67069050-67069106	66596848-66596927,67069050-67069107
A0A2R8Y7W1		1	330	330	110	110	8	FALSE	TRUE	181776102-181776228,181779443-181779539,181783679-181783784	181776101-181776228,181779443-181779539,181783679-181783783
A0A2R8YEI8		2	144	144	48	48	2	FALSE	TRUE	31802753-31802838,31804162-31804219	31802751-31802838,31804162-31804217
A0A3B3IRP2		2	387	387	129	129	6	FALSE	TRUE	7203552-7203593,7203692-7203816,7204008-7204067,7204199-7204252,7208174-7208239,7211658-7211697	7203554-7203593,7203692-7203816,7204008-7204067,7204199-7204252,7208174-7208239,7211658-7211699
A0A494BZW4		2	285	285	95	95	5	FALSE	TRUE	50141855-50141858,50144957-50145197,50177089-50177128	50141853-50141858,50144957-50145197,50177089-50177126
A0A494C0H6		1	318	318	106	106	2	FALSE	TRUE	140114183-140114500	140114182-140114499
A0A590UJI2		1	312	312	104	104	11	FALSE	TRUE	47161723-47161858,47162286-47162392,47162519-47162587	47161724-47161858,47162286-47162392,47162519-47162588
A0A5F9ZGW6		1	360	360	120	120	3	FALSE	TRUE	32209489-32209539,32427822-32428130	32209490-32209539,32427822-32428131
A0A7I2V345		1	150	150	50	50	2	FALSE	TRUE	42242183-42242239,42242372-42242464	42242184-42242239,42242372-42242465
A0A7I2YQU1		1	177	177	59	59	3	FALSE	TRUE	119912704-119912750,119916044-119916173	119912705-119912750,119916044-119916174
A0A8I5KTA1		2	348	348	116	116	10	FALSE	TRUE	43765528-43765566,43765887-43766012,43766728-43766910	43765526-43765566,43765887-43766012,43766728-43766908
A0A8V8TP99		1	258	258	86	86	2	FALSE	TRUE	228097116-228097262,228097342-228097452	228097115-228097262,228097342-228097451
A6PVN8		1	387	387	129	129	4	FALSE	TRUE	129120588-129120610,129123052-129123138,129128985-129129110,129131522-129131639,129134795-129134827	129120587-129120610,129123052-129123138,129128985-129129110,129131522-129131639,129134795-129134826
B1B1G6		1	408	408	136	136	6	FALSE	TRUE	103776997-103776999,103785582-103785768,103786465-103786682	103776996-103776999,103785582-103785768,103786465-103786681
B7ZBR9		2	408	408	136	136	4	FALSE	TRUE	113014773-113014846,113024644-113024758,113045271-113045361,113060593-113060712,113064304-113064311	113014771-113014846,113024644-113024758,113045271-113045361,113060593-113060712,113064304-113064309
C9J3P9		2	291	291	97	97	4	FALSE	TRUE	146206587-146206761,146220815-146220925,146222065-146222069	146206589-146206761,146220815-146220925,146222065-146222071
C9J473		2	345	345	115	115	3	FALSE	TRUE	27311935-27311951,27312214-27312246,27312494-27312589,27312680-27312772,27312994-27313099	27311937-27311951,27312214-27312246,27312494-27312589,27312680-27312772,27312994-27313101
C9J6N9		2	405	405	135	135	7	FALSE	TRUE	19467873-19468003,19471687-19471808,19475068-19475100,19475470-19475588	19467875-19468003,19471687-19471808,19475068-19475100,19475470-19475590
C9J6V4		2	273	273	91	91	5	FALSE	TRUE	142907771-142907804,142913199-142913293,142932047-142932125,143014080-143014116,143037196-143037223	142907769-142907804,142913199-142913293,142932047-142932125,143014080-143014116,143037196-143037221
C9J7B1		1	195	195	65	65	2	FALSE	TRUE	55982258-55982280,55983728-55983868,55984847-55984877	55982257-55982280,55983728-55983868,55984847-55984876
C9J7H8		2	408	408	136	136	11	FALSE	TRUE	21643946-21644108,21646899-21647016,21654543-21654669	21643948-21644108,21646899-21647016,21654543-21654671
C9JAD7		2	117	117	39	39	4	FALSE	TRUE	111217684-111217800	111217682-111217798
C9JB55		2	225	225	75	75	3	FALSE	TRUE	133748503-133748584,133753595-133753703,133754495-133754528	133748501-133748584,133753595-133753703,133754495-133754526
C9JDL2		2	357	357	119	119	7	FALSE	TRUE	219251587-219251713,219252008-219252230,219252779-219252785	219251589-219251713,219252008-219252230,219252779-219252787
C9JFS8		1	288	288	96	96	1	FALSE	TRUE	43594220-43594367,43594879-43595018	43594219-43594367,43594879-43595017
C9JG93		2	66	66	22	22	1	FALSE	TRUE	241324235-241324241,241325993-241326051	241324233-241324241,241325993-241326049
C9JH37		2	252	252	84	84	7	FALSE	TRUE	319779-319867,325959-326064,328167-328223	319777-319867,325959-326064,328167-328221
C9JNQ3		1	312	312	104	104	5	FALSE	TRUE	76332287-76332435,76344671-76344737,76348529-76348581,76383846-76383888	76332288-76332435,76344671-76344737,76348529-76348581,76383846-76383889
C9JRL4		2	357	357	119	119	5	FALSE	TRUE	63595458-63595519,63597399-63597574,63599170-63599288	63595456-63595519,63597399-63597574,63599170-63599286
C9JWG0		2	450	450	150	150	11	FALSE	TRUE	63856322-63856433,63857829-63857936,63882466-63882651,63883960-63884003	63856320-63856433,63857829-63857936,63882466-63882651,63883960-63884001
C9JY37		1	339	339	113	113	8	FALSE	TRUE	167621469-167621643,167653261-167653424	167621470-167621643,167653261-167653425
C9JZ81		2	393	393	131	131	12	FALSE	TRUE	216113036-216113129,216116659-216116842,216117746-216117794,216119043-216119108	216113034-216113129,216116659-216116842,216117746-216117794,216119043-216119106
C9JZR7		2	306	306	102	102	3	FALSE	TRUE	5529216-5529400,5529535-5529655	5529218-5529400,5529535-5529657
C9K068		2	240	240	80	80	9	FALSE	TRUE	55982259-55982280,55983728-55983868,55984847-55984878,55994894-55994938	55982257-55982280,55983728-55983868,55984847-55984878,55994894-55994936
C9K0I9		2	249	249	83	83	5	FALSE	TRUE	191276898-191277030,191296111-191296226	191276896-191277030,191296111-191296224
D6R960		1	357	357	119	119	3	FALSE	TRUE	175878741-175878770,175878908-175879083,175879848-175879998	175878740-175878770,175878908-175879083,175879848-175879997
D6RAR7		1	426	426	142	142	8	FALSE	TRUE	15523055-15523219,15524526-15524669,15533240-15533356	15523056-15523219,15524526-15524669,15533240-15533357
D6RBG2		2	450	450	150	150	6	FALSE	TRUE	141868954-141869403	141868956-141869405
D6RC54		2	273	273	91	91	15	FALSE	TRUE	96742663-96742756,96747345-96747392,96748518-96748613,96750587-96750621	96742661-96742756,96747345-96747392,96748518-96748613,96750587-96750619
D6RCR6		1	174	174	58	58	4	FALSE	TRUE	43615861-43616034	43615860-43616033
D6RDG7		2	432	432	144	144	8	FALSE	TRUE	175492106-175492267,175509032-175509202,175510109-175510207	175492104-175492267,175509032-175509202,175510109-175510205
D6RDM7		1	369	369	123	123	10	FALSE	TRUE	39698329-39698390,39737420-39737513,39745752-39745810,39777682-39777810,39778360-39778384	39698328-39698390,39737420-39737513,39745752-39745810,39777682-39777810,39778360-39778383
D6RF44		2	333	333	111	111	10	FALSE	TRUE	82357437-82357444,82358659-82358820,82359471-82359633	82357439-82357444,82358659-82358820,82359471-82359635
D6RGJ3		1	366	366	122	122	4	FALSE	TRUE	72107533-72107715,72115698-72115799,72183743-72183823	72107532-72107715,72115698-72115799,72183743-72183822
D6RGV5		1	309	309	103	103	4	FALSE	TRUE	75240301-75240385,75241176-75241265,75241822-75241938,75243717-75243733	75240302-75240385,75241176-75241265,75241822-75241938,75243717-75243734
E5RFU0		1	348	348	116	116	5	FALSE	TRUE	83662347-83662422,83665439-83665581,83707798-83707926	83662348-83662422,83665439-83665581,83707798-83707927
E5RG43		1	447	447	149	149	5	FALSE	TRUE	85333527-85333620,85336945-85337063,85338252-85338449,85341599-85341634	85333528-85333620,85336945-85337063,85338252-85338449,85341599-85341635
E5RIF9		1	444	444	148	148	4	FALSE	TRUE	85333530-85333620,85336945-85337063,85338252-85338449,85341599-85341634	85333531-85333620,85336945-85337063,85338252-85338449,85341599-85341635
