smorf_id	category	itemRgb	chosen_tx_source	chosen_transcript_id	chosen_decay_class	chosen_disruption_tier	chosen_disruption_qualifying	n_categories_present	categories_present	n_compatible_tx	nsd_confident_tx	nsd_gate_reason	is_in_908_conjunction
A0A024R3B9	dark_green	0,100,0	GENCODE_v50	ENST00000525823.2	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	47	0	no_confident_nsd_tx	FALSE
A0A024R772	dark_green	0,100,0	GENCODE_v50	ENST00000676730.2	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	40	0	no_confident_nsd_tx	FALSE
A0A075B6E2	dark_green	0,100,0	GENCODE_v50	ENST00000221975.6	nmd_immune_last_exon	C	TRUE	3	dark_green;light_green;firebrick	46	0	no_confident_nsd_tx	FALSE
A0A087WT92	light_green	144,238,144	GENCODE_v50	ENST00000474141.6	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A087WT94	nsd_disrupted	106,61,154	GENCODE_v50	ENST00000520856.1	nsd_predicted_no_stop	B	TRUE	3	dark_green;light_green;nsd_disrupted	22	17	confident_nsd_uncontradicted	FALSE
A0A087WTA9	light_green	144,238,144	GENCODE_v50	ENST00000618802.4	nmd_immune_last_exon	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A087WTE2	gold	255,215,0	ESPRESSO	ENST00000621703.4	nmd_predicted_50nt	B	TRUE	2	gold;firebrick	9	0	no_confident_nsd_tx	TRUE
A0A087WTF2	firebrick	178,34,34	GENCODE_v50	ENST00000496387.5	nmd_predicted_50nt	none	FALSE	1	firebrick	4	0	no_confident_nsd_tx	FALSE
A0A087WTJ7	light_green	144,238,144	GENCODE_v50	ENST00000610733.2	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A087WTT2	light_green	144,238,144	GENCODE_v50	ENST00000612323.5	nmd_immune_last_exon	none	FALSE	1	light_green	6	0	no_confident_nsd_tx	FALSE
A0A087WTX8	nsd_intact	188,158,217	GENCODE_v50	ENST00001109831.1	nsd_predicted_no_stop	none	FALSE	3	dark_green;light_green;nsd_intact	42	39	confident_nsd_uncontradicted	FALSE
A0A087WTY1	dark_green	0,100,0	GENCODE_v50	ENST00000472179.2	nmd_immune_last_exon	BC	TRUE	2	dark_green;light_green	28	0	no_confident_nsd_tx	FALSE
A0A087WUD3	light_green	144,238,144	GENCODE_v50	ENST00000613215.5	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A087WUN7	light_green	144,238,144	GENCODE_v50	ENST00000613856.5	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A087WUV3	firebrick	178,34,34	GENCODE_v50	ENST00000469918.5	nmd_predicted_50nt	none	FALSE	1	firebrick	7	0	no_confident_nsd_tx	FALSE
A0A087WVV1	dark_green	0,100,0	GENCODE_v50	ENST00000621781.5	nmd_immune_last_exon	C	TRUE	3	dark_green;light_green;firebrick	33	0	no_confident_nsd_tx	FALSE
A0A087WW56	firebrick	178,34,34	GENCODE_v50	ENST00000619678.2	nmd_predicted_50nt	none	FALSE	1	firebrick	11	0	no_confident_nsd_tx	FALSE
A0A087WW59	light_green	144,238,144	GENCODE_v50	ENST00000617612.3	not_applicable_single_exon	none	FALSE	1	light_green	6	0	no_confident_nsd_tx	FALSE
A0A087WW72	dark_green	0,100,0	GENCODE_v50	ENST00000472889.2	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	32	0	no_confident_nsd_tx	FALSE
A0A087WW86	dark_green	0,100,0	ESPRESSO	ENST00000611650.1	not_applicable_single_exon	B	TRUE	2	dark_green;light_green	4	0	no_confident_nsd_tx	FALSE
A0A087WWA2	dark_green	0,100,0	ESPRESSO	ENST00000527137.2	nmd_immune_last_exon	B	TRUE	3	dark_green;light_green;firebrick	5	0	no_confident_nsd_tx	FALSE
A0A087WWB9	dark_green	0,100,0	GENCODE_v50	ENST00000495720.5	nmd_immune_last_exon	B	TRUE	3	dark_green;light_green;firebrick	15	0	no_confident_nsd_tx	FALSE
A0A087WWE7	light_green	144,238,144	GENCODE_v50	ENST00000956035.2	nmd_immune_last_exon	none	FALSE	1	light_green	12	0	no_confident_nsd_tx	FALSE
A0A087WWI1	gold	255,215,0	ESPRESSO	ENST00000611959.2	nmd_predicted_50nt	B	TRUE	2	gold;firebrick	7	0	no_confident_nsd_tx	TRUE
A0A087WWP1	dark_green	0,100,0	GENCODE_v50	ENST00000560373.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A087WX00	light_green	144,238,144	GENCODE_v50	ENST00000615315.2	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A087WXN3	dark_green	0,100,0	GENCODE_v50	ENST00000592082.5	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A087WXR5	light_green	144,238,144	GENCODE_v50	ENST00000618945.5	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A087WY70	gold	255,215,0	GENCODE_v50	ENST00000431099.3	nmd_predicted_50nt	B	TRUE	2	gold;firebrick	22	0	no_confident_nsd_tx	TRUE
A0A087WZ33	dark_green	0,100,0	ESPRESSO	ENST00000492270.1	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	5	0	no_confident_nsd_tx	FALSE
A0A087WZX2	light_green	144,238,144	GENCODE_v50	ENST00000366466.6	nmd_immune_last_exon	none	FALSE	1	light_green	5	0	no_confident_nsd_tx	FALSE
A0A087X0S2	nsd_disrupted	106,61,154	GENCODE_v50	ENST00000536357.3	nsd_predicted_no_stop	C	TRUE	3	dark_green;light_green;nsd_disrupted	17	15	confident_nsd_uncontradicted	FALSE
A0A087X0Y3	dark_green	0,100,0	GENCODE_v50	ENST00000483630.6	nsd_predicted_no_stop	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A087X174	light_green	144,238,144	GENCODE_v50	ENST00000620396.5	nmd_immune_last_exon	none	FALSE	1	light_green	6	0	no_confident_nsd_tx	FALSE
A0A087X1G1	light_green	144,238,144	GENCODE_v50	ENST00000611607.5	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A087X1H4	light_green	144,238,144	GENCODE_v50	ENST00000492007.7	nmd_immune_last_exon	none	FALSE	1	light_green	6	0	no_confident_nsd_tx	FALSE
A0A087X243	light_green	144,238,144	GENCODE_v50	ENST00000495996.3	nmd_immune_last_exon	none	FALSE	1	light_green	2	0	no_confident_nsd_tx	FALSE
A0A087X282	light_green	144,238,144	GENCODE_v50	ENST00000611779.4	nmd_immune_last_exon	none	FALSE	1	light_green	4	0	no_confident_nsd_tx	FALSE
A0A087X2B9	firebrick	178,34,34	GENCODE_v50	ENST00000489056.5	nmd_predicted_50nt	none	FALSE	1	firebrick	4	0	no_confident_nsd_tx	FALSE
A0A096LP60	dark_green	0,100,0	GENCODE_v50	ENST00000624900.1	nmd_immune_last_exon	C	TRUE	2	dark_green;light_green	2	0	no_confident_nsd_tx	FALSE
A0A0A0MR04	light_green	144,238,144	GENCODE_v50	ENST00001044362.1	nmd_immune_last_exon	none	FALSE	3	light_green;gold;firebrick	6	0	no_confident_nsd_tx	TRUE
A0A0A0MRL0	dark_green	0,100,0	ESPRESSO	ENST00000368681.1	nmd_immune_last_exon	B	TRUE	2	dark_green;light_green	3	0	no_confident_nsd_tx	FALSE
A0A0A0MS47	light_green	144,238,144	GENCODE_v50	ENST00000393870.4	nmd_immune_last_exon	none	FALSE	1	light_green	6	0	no_confident_nsd_tx	FALSE
A0A0A0MSL8	light_green	144,238,144	ENCODE4	ENSG00000248643[1,5,4]	nmd_immune_last_exon	none	FALSE	2	light_green;firebrick	7	0	no_confident_nsd_tx	FALSE
